country,city,lat,long,alt,diameter
Antigua And Barbuda,Saint John’s,17.118,-61.85,0,0
Costa Rica,San José,9.935,-84.0841,0,0
San Marino,San Marino,43.9172,12.4667,0,0
El Salvador,San Salvador,13.71,-89.203,0,0
Yemen,Sanaa,15.3547,44.2066,0,0
Chile,Santiago,-33.45,-70.667,0,0
Dominican Republic,Santo Domingo,18.4701,-69.9001,0,0
Sao Tome And Principe,São Tomé,0.3334,6.7333,0,0
Bosnia And Herzegovina,Sarajevo,43.85,18.383,0,0
"Korea, South",Seoul,37.5663,126.9997,0,0
Singapore,Singapore,1.293,103.8558,0,0
Macedonia,Skopje,42,21.4335,0,0
Bulgaria,Sofia,42.6833,23.3167,0,0
Sri Lanka,Sri Jayewardenepura Kotte,6.9,79.95,0,0
Sweden,Stockholm,59.3508,18.0973,0,0
Bolivia,Sucre,-19.041,-65.2595,0,0
Fiji,Suva,-18.133,178.4417,0,0
Taiwan,Taipei,25.0358,121.5683,0,0
Estonia,Tallinn,59.4339,24.728,0,0
Kiribati,Tarawa,1.3382,173.0176,0,0
Uzbekistan,Tashkent,41.3117,69.2949,0,0
Georgia,Tbilisi,41.725,44.7908,0,0
Honduras,Tegucigalpa,14.102,-87.2175,0,0
Iran,Tehran,35.6719,51.4243,0,0
Netherlands,The Hague,52.08,4.27,0,0
Bhutan,Thimphu,27.473,89.639,0,0
Albania,Tirana,41.3275,19.8189,0,0
Japan,Tokyo,35.685,139.7514,0,0
Libya,Tripoli,32.8925,13.18,0,0
Tunisia,Tunis,36.8028,10.1797,0,0
Mongolia,Ulaanbaatar,47.9167,106.9166,0,0
Liechtenstein,Vaduz,47.1337,9.5167,0,0
Malta,Valletta,35.8997,14.5147,0,0
Seychelles,Victoria,-4.6166,55.45,0,0
Austria,Vienna,48.2,16.3666,0,0
Laos,Vientiane,17.9667,102.6,0,0
Lithuania,Vilnius,54.6834,25.3166,0,0
Poland,Warsaw,52.25,21,0,0
United States,Washington,38.9047,-77.0163,0,0
New Zealand,Wellington,-41.3,174.7833,0,0
Curaçao,Willemstad,12.2004,-69.02,0,0
Namibia,Windhoek,-22.57,17.0835,0,0
Côte D’Ivoire,Yamoussoukro,6.8184,-5.2755,0,0
Cameroon,Yaoundé,3.8667,11.5167,0,0
Armenia,Yerevan,40.1812,44.5136,0,0
Croatia,Zagreb,45.8,16,0,0
